ICAO;YEAR;TRAFFIC
LFOK;2016;1905
LFOK;2017;2126
LFOK;2018;1684
LFOK;2019;1549
LFOK;2020;1381
LFOK;2021;1946
LFOK;2022;1827
LFOK;2023;275
LFPB;2016;26364
LFPB;2017;26996
LFPB;2018;28335
LFPB;2019;26751
LFPB;2020;16731
LFPB;2021;25950
LFPB;2022;31938
LFPB;2023;4194
LFPG;2016;239719
LFPG;2017;241402
LFPG;2018;244144
LFPG;2019;252530
LFPG;2020;110388
LFPG;2021;128106
LFPG;2022;204727
LFPG;2023;32414
LFPN;2016;4820
LFPN;2017;5004
LFPN;2018;4984
LFPN;2019;5183
LFPN;2020;5605
LFPN;2021;6566
LFPN;2022;5948
LFPN;2023;912
LFPO;2016;118787
LFPO;2017;116001
LFPO;2018;116114
LFPO;2019;110742
LFPO;2020;42336
LFPO;2021;60281
LFPO;2022;99349
LFPO;2023;14745
LFQQ;2016;11998
LFQQ;2017;12149
LFQQ;2018;12522
LFQQ;2019;12668
LFQQ;2020;5300
LFQQ;2021;7510
LFQQ;2022;9393
LFQQ;2023;1122
LFRB;2016;7730
LFRB;2017;7882
LFRB;2018;8146
